按	a
贵干	gvgj
贵港	gvgh
归航	gvhh
鬼嚎	gvhc
归回	gvhv
鬼将	gvjl
贵南	gvnj
圭臬	gvnp
归宁	gvnk
鬼怒	gvnu
轨炮	gvpc
硅片	gvpm
桂平	gvpk
柜上	gvuh
鬼士	gvui
硅霜	gvul
诡丝	gvsi
鬼祟	gvsv
硅铁	gvtp
硅酮	gvts
鬼王	gvwh
鬼纹	gvwf
贵校	gvxn
归心	gvxb
鬼雄	gvxs
硅油	gvyz
归葬	gvzh
硅藻	gvzc
归总	gvzs
滚存	gycy
滚打	gyda
滚翻	gyfj
滚开	gykk
滚木	gymu
滚刷	gyux
滚压	gyya
辊轴	gyvz
滚珠	gyvu
国本	gobf
锅饼	gobk
果菜	gocd
果茶	goia
过冲	gois
国仇	goiz
过从	gocs
过多	godz
国故	gogu
过孔	goks
锅盔	gokv
过冷	golg
过淋	golb
果洛	golo
果莓	gomw
果农	gons
国丧	gosh
过筛	goud
国殇	gouh
过少	gouc
果穗	gosv
锅台	gotd
国体	goti
过厅	gotk
过夏	goxx
过心	goxb
涡阳	goyh
国乐	goyt
裹扎	goza
过载	gozd
国政	govg
锅庄	govl
裹足	gozu
哈布	habu
哈丁	hadk
哈恩	haen
哈尔	haer
哈格	hage
哈根	hagf
哈金	hajb
哈卡	haka
哈肯	hakf
哈喇	hala
哈兰	halj
哈乐	hale
哈里	hali
哈隆	hals
哈鲁	halu
哈伦	haly
哈蒙	hamg
哈密	hami
哈气	haqi
哈腰	hayc
哈兹	hazi
亥白	hdbd
海北	hdbw
海波	hdbo
海船	hdir
海钓	hddn
海定	hddk
海东	hdds
海鳄	hdee
海匪	hdfw
骇怪	hdgk
海河	hdhe
海魂	hdhy
海角	hdjn
海禁	hdjb
海景	hdjk
海菊	hdju
海康	hdkh
海况	hdkl
海葵	hdkv
海蓝	hdlj
海疗	hdln
海林	hdlb
海流	hdlq
海鳗	hdmj
海门	hdmf
海米	hdmi
害命	hdmk
海宁	hdnk
海怒	hdnu
海派	hdpd
海盆	hdpf
氦气	hdqi
海侵	hdqb
骇然	hdrj
还少	hduc
海蛇	hdue
海曙	hduu
海损	hdsy
海獭	hdta
海特	hdte
海瓦	hdwa
海巫	hdwu
海熊	hdxs
嗨哟	hdyo
海赞	hdzj
海震	hdvf
海州	hdvz
旱魃	hjba
含悲	hjbw
汉滨	hjbb
蔊菜	hjcd
憨痴	hjii
寒促	hjcu
旱稻	hjdc
函调	hjdn
汉恩	hjen
含愤	hjff
寒钢	hjgh
焊工	hjgs
瀚海	hjhd
含恨	hjhf
含混	hjhy
寒噤	hjjb
旱井	hjjk
汉卡	hjka
汗孔	hjks
汉隶	hjli
颔联	hjlm
焊料	hjln
汗漫	hjmj
寒门	hjmf
酣梦	hjmg
酣眠	hjmm
汉民	hjmb
汉娜	hjna
汉南	hjnj
旱年	hjnm
焊盘	hjpj
含片	hjpm
焊钳	hjqm
焊枪	hjql
寒秋	hjqq
寒热	hjre
涵容	hjrs
旱伞	hjsj
寒色	hjse
寒素	hjsu
函索	hjso
汉唐	hjth
焊条	hjtn
寒亭	hjtk
寒腿	hjtv
旱象	hjxl
寒邪	hjxp
含羞	hjxq
寒鸦	hjya
含蕴	hjyy
涵闸	hjva
汗疹	hjvf
寒症	hjvg
韩庄	hjvl
行帮	hhbh
行辈	hhbw
航测	hhce
航船	hhir
行贩	hhfj
夯歌	hhge
航迹	hhji
行间	hhjm
杭锦	hhjb
行款	hhkr
航路	hhlu
航模	hhmo
行频	hhpb
夯砣	hhto
航校	hhxn
沆瀣	hhxp
杭育	hhyo
行员	hhyr
行约	hhyt
蒿本	hcbf
浩博	hcbo
昊迪	hcdi
毫分	hcff
浩海	hchd
豪横	hchg
豪举	hcju
昊康	hckh
好赖	hcld
毫末	hcmo
豪鸟	hcnn
号牌	hcpd
号炮	hcpc
壕堑	hcqm
貉绒	hcrs
耗散	hcsj
豪商	hcuh
豪奢	hcue
号头	hctz
好言	hcyj
皓月	hcyt
毫针	hcvf
郝智	hcvi
豪猪	hcvu
豪壮	hcvl
豪族	hczu
河坝	heba
河蚌	hebh
鹤蟾	heij
盒带	hedd
河东	heds
合度	hedu
河段	hedr
合尔	heer
合该	hegd
核果	hego
荷行	hehh
和会	hehv
合江	hejl
合刊	hekj
核抗	hekh
赫克	heke
核酪	helc
贺联	helm
合量	hell
颌裂	help
核膜	hemo
赫纳	hena
贺年	henm
赫宁	henk
核配	hepw
和洽	heqx
呵欠	heqm
鹤庆	heqk
合手	heuz
和爽	heul
和硕	heuo
贺斯	hesi
核素	hesu
和祥	hexl
喝药	heyc
河源	heyr
河运	heyy
褐藻	hezc
合闸	heva
河鬃	hezs
黑豹	hwbc
黑臂	hwbi
黑貂	hwdn
黑豆	hwdz
黑尔	hwer
黑骨	hwgu
黑光	hwgl
黑河	hwhe
黑红	hwhs
黑货	hwho
黑棘	hwji
黑甲	hwjx
黑箭	hwjm
黑口	hwkz
黑牢	hwlc
黑龙	hwls
黑麦	hwmd
黑面	hwmm
黑魔	hwmo
黑妞	hwnq
黑牌	hwpd
黑泉	hwqr
黑腮	hwsd
黑鼠	hwuu
黑水	hwuv
黑糖	hwth
黑天	hwtm
黑铁	hwtp
黑雾	hwwu
黑锡	hwxi
黑箱	hwxl
黑须	hwxu
黑鸦	hwya
黑窑	hwyc
黑仔	hwzd
黑枣	hwzc
黑账	hwvh
黑爪	hwvc
黑种	hwvs
黑竹	hwvu
黑状	hwvl
黑鬃	hwzs
很多	hfdz
恒奥	hgao
恒邦	hgbh
横暴	hgbc
横比	hgbi
横匾	hgbm
横标	hgbn
横滨	hgbb
横波	hgbo
恒产	hgij
横道	hgdc
恒得	hgde
恒等	hgdg
横笛	hgdi
横断	hgdr
横队	hgdv
横额	hgee
恒恩	hgen
横峰	hgfg
横骨	hggu
横街	hgjp
恒金	hgjb
横空	hgks
横口	hgkz
横列	hglp
横流	hglq
恒迈	hgmd
哼鸣	hgmk
横模	hgmo
衡南	hgnj
横逆	hgni
衡器	hgqi
横桥	hgqn
恒森	hgsf
恒苏	hgsu
亨特	hgte
亨通	hgts
亨威	hgww
横痃	hgxr
恒牙	hgya
恒言	hgyj
横摇	hgyc
恒影	hgyk
哼唷	hgyo
横直	hgvi
横轴	hgvz
亨兹	hgzi
红布	hsbu
荭草	hscc
红场	hsih
红潮	hsic
红刺	hsci
红痱	hsfw
红岗	hsgh
红古	hsgu
红归	hsgv
红果	hsgo
红海	hshd
红河	hshe
洪江	hsjl
红教	hsjn
红角	hsjt
宏块	hskk
宏阔	hsko
洪濑	hsld
鸿烈	hslp
红磷	hslb
红灵	hslk
红楼	hslz
洪炉	hslu
红螺	hslo
红麻	hsma
红盲	hsmh
鸿蒙	hsmg
红棉	hsmm
红庙	hsmn
哄闹	hsnc
哄弄	hsns
红喷	hspf
红桥	hsqn
红区	hsqu
红壤	hsrh
红热	hsre
红砂	hsua
红绳	hsug
红石	hsui
红髓	hssv
红塔	hsta
红亭	hstk
鸿文	hswf
洪武	hswu
红须	hsxu
洪雅	hsya
红药	hsyc
洪泽	hsze
红阵	hsvf
弘正	hsvg
厚薄	hzbc
后舱	hzch
厚唇	hziy
厚赐	hzci
后爹	hzdp
后顶	hzdk
后段	hzdr
猴儿	hzer
候光	hzgl
后汉	hzhj
后颊	hzjx
喉康	hzkh
厚壳	hzke
后梁	hzll
喉裂	hzlp
厚鳞	hzlb
厚膜	hzmo
厚皮	hzpi
后坡	hzpo
厚朴	hzpu
猴拳	hzqr
后厦	hzua
后晌	hzuh
喉舒	hzuu
喉爽	hzul
后送	hzss
后唐	hzth
后屯	hzty
后心	hzxb
后行	hzxk
后学	hzxt
后牙	hzya
喉音	hzyb
后影	hzyk
猴枣	hzzc
喉罩	hzvc
喉症	hzvg
护岸	huan
虎贲	hubf
弧标	hubn
湖滨	hubb
护兵	hubk
湖汊	huia
胡缠	huij
虎刺	huci
互导	hudc
胡豆	hudz
互访	hufg
护工	hugs
胡瓜	hugx
湖怪	hugk
壶关	hugr
呼号	huhc
呼喝	huhe
虎将	hujl
虎劲	hujb
胡库	huku
糊料	huln
呼隆	huls
忽米	humi
护苗	humn
湖盆	hupf
狐皮	hupi
虎钳	huqm
糊墙	huql
胡琴	huqb
互溶	hurs
虎肉	hurz
狐臊	husc
湖色	huse
觳觫	husu
胡荽	husv
湖滩	hutj
湖田	hutm
护腿	hutv
湖屯	huty
滹沱	huto
鹄望	huwh
护胸	huxs
糊药	huyc
虎跃	huyt
湖泽	huze
虎杖	huvh
华安	hxan
华畅	hxih
化虫	hxis
花簇	hxcu
滑道	hxdc
化德	hxde
华迪	hxdi
花缎	hxdr
花朵	hxdz
滑竿	hxgj
花梗	hxgg
华翰	hxhj
滑壳	hxke
桦林	hxlb
花翎	hxlk
滑溜	hxlq
化隆	hxls
花露	hxlu
花苗	hxmn
滑膜	hxmo
华年	hxnm
画派	hxpd
花盘	hxpj
画片	hxpm
花楸	hxqq
化蛇	hxue
花兽	hxuz
滑爽	hxul
花丝	hxsi
花台	hxtd
画帖	hxtp
花王	hxwh
花鞋	hxxp
华约	hxyt
化斋	hxvd
华族	hxzu
淮滨	hkbb
怀德	hkde
槐耳	hker
怀古	hkgu
怀集	hkji
槐角	hkjn
怀来	hkld
怀恋	hklm
淮南	hknj
怀宁	hknk
淮山	hkuj
淮阳	hkyh
怀远	hkyr
环靶	hrba
欢蹦	hrbg
换茬	hria
环衬	hrif
环翠	hrcv
还耕	hrgg
换购	hrgz
换汇	hrhv
还魂	hrhy
环江	hrjl
环礁	hrjn
换进	hrjb
换客	hrke
环列	hrlp
换马	hrma
换毛	hrmc
换名	hrmk
换偶	hrou
缓坡	hrpo
欢洽	hrqx
换亲	hrqb
浣纱	hrua
幻神	hruf
桓台	hrtd
幻天	hrtm
换帖	hrtp
唤头	hrtz
环烷	hrwj
换文	hrwf
环雾	hrwu
换血	hrxp
换药	hryc
环站	hrvj
环中	hrvs
环子	hrzi
磺胺	hlan
黄柏	hlbd
黄饼	hlbk
黄沉	hlif
潢川	hlir
慌促	hlcu
黄的	hlde
黄毒	hldu
皇甫	hlfu
黄冈	hlgh
黄根	hlgf
荒寒	hlhj
黄苦	hlku
黄葵	hlkv
黄蜡	hlla
黄磷	hllb
黄栌	hllu
荒落	hllo
黄麻	hlma
荒蛮	hlmj
肓门	hlmf
黄米	hlmi
黄平	hlpk
荒歉	hlqm
黄青	hlqk
黄壤	hlrh
恍若	hlro
黄升	hlug
磺酸	hlsr
黄藤	hltg
黄体	hlti
皇婷	hltk
黄香	hlxl
蝗灾	hlzd
黄枣	hlzc
黄州	hlvz
回采	hvcd
会操	hvcc
惠存	hvcy
惠迪	hvdi
回跌	hvdp
会儿	hver
灰分	hvff
挥戈	hvge
会攻	hvgs
辉光	hvgl
回空	hvks
回蓝	hvlj
回漏	hvlz
贿买	hvmd
灰猫	hvmc
回门	hvmf
会盟	hvmg
徽墨	hvmo
回目	hvmu
辉南	hvnj
灰泥	hvni
会宁	hvnk
回扫	hvsc
辉腾	hvtg
惠婷	hvtk
回退	hvtv
回销	hvxn
回修	hvxq
灰叶	hvye
灰云	hvyy
会众	hvvs
混充	hyis
珲春	hyiy
婚垫	hydm
混饭	hyfj
混纺	hyfg
婚媾	hygz
魂痕	hyhf
浑江	hyjl
混交	hyjn
荤口	hykz
魂门	hymf
浑朴	hypu
昏阙	hyqt
混色	hyse
混声	hyug
婚书	hyuu
混洗	hyxi
混养	hyyh
荤油	hyyz
魂铸	hyvu
火蚕	hocj
活茬	hoia
霍城	hoig
火炽	hoii
豁出	hoiu
火锤	hoiv
霍地	hodi
活儿	hoer
活法	hofa
伙房	hofg
火攻	hogs
火镰	holm
货流	holq
火芒	homh
火玫	homw
霍姆	homu
火囊	honh
获能	hong
火捻	honm
活宁	honk
和弄	hons
火鹏	hopg
火情	hoqk
火拳	hoqr
火绒	hors
火伤	houh
火神	houf
活爽	houl
祸祟	hosv
货损	hosy
活锁	hoso
活脱	hoto
火网	howh
货位	howw
霍文	howf
火硝	hoxn
火崖	hoya
火印	hoyb
活用	hoys
货栈	hovj
火砖	hovr
火鬃	hozs
基表	jibn
蓟草	jicc
肌醇	jiiy
集粹	jicv
基佛	jifo
纪纲	jigh
机耕	jigg
饥寒	jihj
击昏	jihy
稽考	jikc
基坑	jikg
级控	jiks
激浪	jilh
级联	jilm
棘轮	jily
寂灭	jimp
唧哝	jins
济诺	jino
亟盼	jipj
疾跑	jipc
继配	jipw
讥评	jipk
基沙	jiua
鸡舍	jiue
瘠土	jitu
鸡泽	jize
吉兆	jivc
疾走	jizz
忌嘴	jizv
加巴	jxba
甲苯	jxbf
家传	jxir
甲等	jxdg
架豆	jxdz
加高	jxgc
假根	jxgf
夹棍	jxgy
加翰	jxhj
加衡	jxhg
架环	jxhr
家口	jxkz
家累	jxlw
加料	jxln
假劣	jxlp
加隆	jxls
佳妙	jxmn
荚膜	jxmo
假年	jxnm
佳酿	jxnl
加浓	jxns
加诺	jxno
夹批	jxpi
嘉庆	jxqk
佳蓉	jxrs
嘉瑞	jxrv
贾森	jxsf
甲酸	jxsr
假体	jxti
加添	jxtm
家童	jxts
假托	jxto
甲烷	jxwj
贾汪	jxwh
家兄	jxxs
佳择	jxze
家珍	jxvf
箭靶	jmba
简本	jmbf
坚壁	jmbi
茧绸	jmiz
剪床	jmil
尖脆	jmcv
健存	jmcy
检错	jmco
箭杆	jmgj
肩篌	jmhz
健将	jmjl
肩铠	jmkk
肩宽	jmkr
艰困	jmky
简括	jmko
健朗	jmlh
检疗	jmln
睑裂	jmlp
见林	jmlb
剑灵	jmlk
剑龙	jmls
检录	jmlu
简论	jmly
剑芒	jmmh
间苗	jmmn
简娜	jmna
剑奴	jmnu
践诺	jmno
建瓯	jmou
舰炮	jmpc
毽球	jmqq
间日	jmri
键入	jmru
健润	jmry
健硕	jmuo
茧丝	jmsi
尖酸	jmsr
肩台	jmtd
见天	jmtm
建团	jmtr
肩窝	jmwo
剑侠	jmxx
键序	jmxu
渐晕	jmyy
肩胄	jmvz
江巴	jlba
姜饼	jlbk
疆场	jlih
江潮	jlic
降尘	jlif
奖酬	jliz
江川	jlir
将次	jlci
江达	jlda
姜酊	jldk
豇豆	jldz
江段	jldr
降矾	jlfj
江防	jlfg
姜酚	jlff
江干	jlgj
酱缸	jlgh
降格	jlge
讲古	jlgu
将官	jlgr
江海	jlhd
江汉	jlhj
降耗	jlhc
绛红	jlhs
江淮	jlhk
姜黄	jlhl
姜活	jlho
江口	jlkz
僵冷	jllg
江梁	jlll
浆料	jlln
江流	jllq
江面	jlmm
浆膜	jlmo
江宁	jlnk
奖牌	jlpd
江畔	jlpj
浆泡	jlpc
讲评	jlpk
江浦	jlpu
讲情	jlqk
讲求	jlqq
奖券	jlqr
匠人	jlrf
酱肉	jlrz
酱色	jlse
将帅	jluk
讲说	jluo
僵死	jlsi
江天	jltm
疆土	jltu
江豚	jlty
绛县	jlxm
将校	jlxn
江选	jlxr
江贼	jlzw
降真	jlvf
浇薄	jnbo
绞缠	jnij
焦愁	jniz
胶磁	jnci
角的	jnde
较多	jndz
椒干	jngj
角钢	jngh
绞喉	jnhz
椒江	jnjl
角盔	jnkv
交困	jnky
嚼蜡	jnla
郊狼	jnlh
角楼	jnlz
教民	jnmb
蕉农	jnns
娇女	jnnv
绞盘	jnpj
胶皮	jnpi
角票	jnpn
交迫	jnpo
胶乳	jnru
浇洒	jnsa
焦深	jnuf
角孙	jnsy
脚踏	jnta
角铁	jntp
娇娃	jnwa
教习	jnxi
郊野	jnye
交映	jnyk
交杂	jnza
脚爪	jnvc
胶州	jnvz
角锥	jnvv
桀骜	jpao
接茬	jpia
疥虫	jpis
洁丹	jpdj
杰德	jpde
戒牒	jpdp
结队	jpdv
劫夺	jpdz
解饿	jpee
姐儿	jper
捷根	jpgf
杰卡	jpka
洁康	jpkh
结块	jpkk
杰拉	jpla
街垒	jplw
接邻	jplb
接龙	jpls
洁奈	jpnd
结脑	jpnc
节奴	jpnu
解耦	jpou
接腔	jpql
介壳	jpqn
解劝	jpqr
解热	jpre
杰森	jpsf
界山	jpuj
接穗	jpsv
接榫	jpsy
杰特	jpte
揭帖	jptp
节下	jpxx
介休	jpxq
接续	jpxu
杰勋	jpxy
结症	jpvg
桀纣	jpvz
界桩	jpvl
节宗	jpzs
接嘴	jpzv
锦标	jbbn
进兵	jbbk
今草	jbcc
金川	jbir
金疮	jbil
金粉	jbff
金糕	jbgc
金格	jbge
浸焊	jbhj
禁核	jbhe
金衡	jbhg
金红	jbhs
禁毁	jbhv
禁绝	jbjt
进款	jbkr
锦葵	jbkv
金兰	jblj
劲朗	jblh
锦纶	jbly
金络	jblo
紧忙	jbmh
金盟	jbmg
金鸣	jbmk
金姆	jbmu
津南	jbnj
晋宁	jbnk
金怒	jbnu
金瓯	jbou
近旁	jbph
金盆	jbpf
金票	jbpn
禁品	jbpb
筋肉	jbrz
金帅	jbuk
金顺	jbuy
劲松	jbss
尽速	jbsu
金台	jbtd
金坛	jbtj
津彤	jbts
近月	jbyt
金寨	jbvd
靖邦	jkbh
井壁	jkbi
靖边	jkbm
劲草	jkcc
精巢	jkic
精赤	jkii
泾川	jkir
精纯	jkiy
精当	jkdh
竞斗	jkdz
颈段	jkdr
警号	jkhc
颈环	jkhr
竟会	jkhv
经卷	jkjr
精料	jkln
径流	jklq
精龙	jkls
惊马	jkma
精囊	jknh
竟日	jkri
警容	jkrs
精肉	jkrz
静爽	jkul
靖顺	jkuy
竞速	jksu
荆条	jktn
精铁	jktp
晶妥	jkto
井蛙	jkwa
敬挽	jkwj
警械	jkxp
竞秀	jkxq
警讯	jkxy
精要	jkyc
经由	jkyz
京兆	jkvc
窘促	jscu
窘状	jsvl
旧案	jqan
酒保	jqbc
就便	jqbm
九重	jqis
就道	jqdc
九鼎	jqdk
揪斗	jqdz
旧恶	jqee
厩肥	jqfw
纠风	jqfg
久旱	jqhj
就歼	jqjm
九卷	jqjr
酒客	jqke
旧莫	jqmo
酒囊	jqnh
久诺	jqno
旧情	jqqk
酒曲	jqqu
就让	jqrh
揪痧	jqua
救伤	jquh
酒芍	jquc
酒肆	jqsi
九台	jqtd
酒坛	jqtj
旧套	jqtc
旧体	jqti
救亡	jqwh
酒瓮	jqwg
韭芽	jqya
酒盏	jqvj
九转	jqvr
舅子	jqzi
九族	jqzu
举哀	juai
巨棒	jubh
巨擘	jubo
聚财	jucd
巨铲	juij
居巢	juic
锯床	juil
句读	judz
菊粉	juff
橘柑	jugj
巨匠	jujl
雎鸠	jujq
巨口	jukz
聚类	julw
拘挛	julr
局麻	juma
巨蟒	jumh
莒南	junj
局骗	jupm
拘票	jupn
拒聘	jupb
巨蛆	juqu
巨阙	juqt
句容	jurs
巨商	juuh
巨神	juuf
聚生	juug
巨泰	jutd
剧坛	jutj
举要	juyc
巨野	juye
拒载	juzd
举债	juvd
卷柏	jrbd
绢本	jrbf
鄄城	jrig
蠲除	jriu
卷次	jrci
涓滴	jrdi
圈肥	jrfw
卷积	jrji
卷面	jrmm
眷念	jrnm
捐弃	jrqi
卷刃	jrrf
捐税	jruv
绢丝	jrsi
倦态	jrtd
卷筒	jrts
蠲哮	jrxn
卷须	jrxu
蕨菜	jtcd
绝倒	jtdc
角儿	jter
绝骨	jtgu
掘开	jtkk
掘客	jtke
绝灭	jtmp
绝命	jtmk
绝品	jtpb
蕨墙	jtql
绝热	jtre
绝收	jtuz
矍铄	jtuo
绝嗣	jtsi
绝天	jttm
镢头	jttz
绝续	jtxu
诀要	jtyc
蕨叶	jtye
厥阴	jtyb
绝早	jtzc
谲诈	jtva
抉摘	jtvd
觉着	jtve
峻拔	jyba
菌柄	jybk
军博	jybo
俊才	jycd
均昌	jyih
军风	jyfg
菌杆	jygj
军徽	jyhv
军警	jyjk
君凯	jykk
军垦	jykf
军控	jyks
筠连	jylm
军粮	jyll
君临	jylb
菌落	jylo
军帽	jymc
菌苗	jymn
菌幕	jymu
俊宁	jynk
君侬	jyns
军品	jypb
君然	jyrj
军嫂	jysc
君山	jyuj
军属	jyuu
菌丝	jysi
菌托	jyto
君吻	jywf
军需	jyxu
俊雅	jyya
均沾	jyvj
军政	jyvg
喀吧	kaba
卡比	kabi
卡铂	kabo
卡尺	kaii
卡带	kadd
卡德	kade
卡多	kadz
卡恩	kaen
卡尔	kaer
卡格	kage
卡规	kagv
卡汉	kahj
卡环	kahr
咔叽	kaji
卡拉	kala
卡莱	kald
卡兰	kalj
卡雷	kalw
卡隆	kals
卡伦	kaly
卡迈	kamd
卡姆	kamu
卡帕	kapa
卡其	kaqi
卡钳	kaqm
卡券	kaqr
卡瑞	karv
卡杉	kauj
卡神	kauf
卡水	kauv
卡死	kasi
卡松	kass
喀痰	katj
卡瓦	kawa
卡位	kaww
卡文	kawf
咯血	kaxp
卡雅	kaya
卡孕	kayy
卡纸	kavi
卡兹	kazi
开拔	kkba
开本	kkbf
开标	kkbn
开播	kkbo
开槽	kkcc
开衩	kkia
开场	kkih
开秤	kkig
开船	kkir
开创	kkil
开春	kkiy
开打	kkda
开端	kkdr
开盾	kkdy
凯尔	kker
开发	kkfa
开饭	kkfj
凯纷	kkff
开封	kkfg
凯歌	kkge
开光	kkgl
开航	kkhh
开户	kkhu
开怀	kkhk
开荒	kkhl
开会	kkhv
开荤	kkhy
开镜	kkjk
开卷	kkjr
开掘	kkjt
开垦	kkkf
开口	kkkz
凯拉	kkla
开朗	kklh
凯雷	kklw
开溜	kklq
开滦	kklr
开迈	kkmd
开明	kkmk
楷模	kkmo
恺诺	kkno
开盘	kkpj
开辟	kkpi
开篇	kkpm
开票	kkpn
开平	kkpk
开窍	kkqn
慨然	kkrj
开设	kkue
开审	kkuf
开涮	kkur
开水	kkuv
开顺	kkuy
开锁	kkso
凯塔	kkta
开台	kktd
慨叹	kktj
开膛	kkth
凯特	kkte
楷体	kkti
开头	kktz
开挖	kkwa
开外	kkwd
开往	kkwh
开悟	kkwu
开心	kkxb
凯旋	kkxr
开学	kkxt
开阳	kkyh
开业	kkye
开印	kkyb
揩油	kkyz
慨允	kkyy
开凿	kkzc
开闸	kkva
开斋	kkvd
开支	kkvi
开罪	kkzv
刊本	kjbf
刊播	kjbo
看车	kjie
莰醇	kjiy
堪当	kjdh
勘定	kjdk
看顾	kjgu
看开	kjkk
刊落	kjlo
坎农	kjns
莰酮	kjts
刊文	kjwf
刊行	kjxk
侃爷	kjye
龛影	kjyk
坎子	kjzi
糠秕	khbi
抗病	khbk
康达	khda
康得	khde
抗敌	khdi
康恩	khen
抗感	khgj
抗核	khhe
抗婚	khhy
扛活	khho
康健	khjm
亢进	khjb
抗捐	khjr
抗菌	khjy
慷慨	khkk
抗联	khlm
抗流	khlq
康马	khma
抗魔	khmo
康能	khng
康尼	khni
康诺	khno
康哌	khpd
康平	khpk
康衢	khqu
康容	khrs
康锐	khrv
康萨	khsa
康肾	khuf
康寿	khuz
抗栓	khur
抗税	khuv
康泰	khtd
康铜	khts
抗倭	khwo
康县	khxm
抗性	khxk
炕沿	khyj
抗药	khyc
抗御	khyu
康赞	khzj
康庄	khvl
炕桌	khvo
考霸	kcba
考妣	kcbi
考宾	kcbb
烤翅	kcii
拷绸	kciz
考订	kcdk
考恩	kcen
考尔	kcer
考格	kcge
考根	kcgf
考工	kcgs
靠耩	kcjl
考据	kcju
考克	kcke
考雷	kclw
考林	kclb
考伦	kcly
考王	kcwh
考学	kcxt
靠椅	kcyi
靠枕	kcvf
靠准	kcvy
客帮	kebh
可擦	keca
髁槽	kecc
珂丹	kedj
克东	keds
科尔	keer
科伐	kefa
客房	kefg
克非	kefw
髁杆	kegj
可怪	kegk
可还	kehd
克癀	kehl
客货	keho
氪金	kejb
课卷	kejr
克卡	keka
咳康	kekh
克朗	kelh
科雷	kelw
髁梁	kell
咳灵	kelk
克罗	kelo
稞麦	kemd
科盲	kemh
可耐	kend
可恼	kenc
渴念	kenm
咳宁	kenk
咳清	keqk
溘然	kerj
克日	keri
可溶	kers
克瑞	kerv
可润	kery
克赛	kesd
客岁	kesv
咳泰	ketd
克痛	kets
克托	keto
咳丸	kewj
刻下	kexx
渴想	kexl
科雅	keya
课业	keye
可由	keyz
苛杂	keza
可着	keve
克重	kevs
髁轴	kevz
髁柱	kevu
恪遵	kezy
客座	kezo
垦覆	kffu
肯杰	kfjp
垦利	kfli
肯纳	kfna
垦区	kfqu
啃噬	kfui
肯特	kfte
恳托	kfto
垦种	kfvs
坑井	kgjk
铿铿	kgkg
坑口	kgkz
坑木	kgmu
铿然	kgrj
坑杀	kgua
空巢	ksic
空车	ksie
空处	ksiu
控窗	ksil
空带	ksdd
孔道	ksdc
空额	ksee
空儿	kser
空乏	ksfa
空费	ksfw
空港	ksgh
控购	ksgz
空壶	kshu
空怀	kshk
孔教	ksjn
孔径	ksjk
恐鹫	ksjq
空栏	kslj
孔林	kslb
空落	kslo
空漠	ksmo
空炮	kspc
空腔	ksql
空勤	ksqb
空日	ksri
空身	ksuf
空驶	ksui
空疏	ksuu
空文	kswf
空暇	ksxx
恐蝎	ksxp
空援	ksyr
空竹	ksvu
空转	ksvr
倥偬	kszs
抠逼	kzbi
口称	kzig
口传	kzir
口疮	kzil
口唇	kziy
叩打	kzda
蔻丹	kzdj
口道	kzdc
扣儿	kzer
叩关	kzgr
口惠	kzhv
叩阍	kzhy
口洁	kzjp
口紧	kzjb
芤脉	kzmd
口蘑	kzmo
口轻	kzqk
口诵	kzss
抠搜	kzsz
抠唆	kzso
口泰	kztd
口谈	kztj
扣题	kzti
口外	kzwd
口腕	kzwj
口占	kzvj
库藏	kuch
枯肠	kuih
库车	kuie
库德	kude
库缎	kudr
库尔	kuer
库房	kufg
酷好	kuhc
枯涸	kuhe
酷黑	kuhw
苦活	kuho
苦口	kukz
库兰	kulj
酷烈	kulp
哭灵	kulk
库玛	kuma
库纳	kuna
枯钳	kuqm
哭腔	kuql
苦情	kuqk
裤裙	kuqy
苦人	kurf
库森	kusf
苦参	kuuf
苦事	kuui
枯桃	kutc
苦藤	kutg
苦夏	kuxx
裤线	kuxm
枯朽	kuxq
枯须	kuxu
窟宅	kuvd
裤装	kuvl
枯坐	kuzo
夸诞	kxdj
挎斗	kxdz
跨径	kxjk
夸克	kxke
跨上	kxuh
夸说	kxuo
夸脱	kxto
跨业	kxye
侉子	kxzi
夸嘴	kxzv
快板	kkbj
快度	kkdu
快斧	kkfu
块根	kkgf
快克	kkke
快力	kkli
快男	kknj
快枪	kkql
快事	kkui
快手	kkuz
快痛	kkts
快像	kkxl
快语	kkyu
块状	kkvl
宽病	krbk
款步	krbu
宽城	krig
宽绰	kriz
宽甸	krdm
款冬	krds
髋骨	krgu
宽轨	krgv
宽和	krhe
宽假	krjx
宽解	krjp
宽旷	krkl
款留	krlq
宽免	krmm
款洽	krqx
款曲	krqu
宽让	krrh
宽饶	krrc
款型	krxk
宽胸	krxs
宽宥	kryz
宽展	krvj
款识	krvi
款子	krzi
宽纵	krzs
狂草	klcc
矿层	klcg
矿场	klih
矿车	klie
矿床	klil
旷代	kldd
旷荡	kldh
框定	kldk
矿洞	klds
狂喊	klhj
狂呼	klhu
匡计	klji
矿浆	kljl
匡救	kljq
矿坑	klkg
狂澜	kllj
狂雷	kllw
矿棉	klmm
矿苗	klmn
匡谬	klmq
矿泥	klni
狂怒	klnu
狂气	klqi
狂钳	klqm
狂肆	klsi
匡算	klsr
矿体	klti
矿田	kltm
况味	klww
狂泻	klxp
矿渣	klva
矿长	klvh
狂爪	klvc
奎艾	kvai
魁岸	kvan
溃兵	kvbk
跬步	kvbu
窥察	kvia
亏得	kvde
溃堤	kvdi
奎恩	kven
亏负	kvfu
愧汗	kvhj
亏耗	kvhc
愧恨	kvhf
